[1, 'spam_score:', 18282, 'GDGVILYX4RATPIO6XTBXNIBEUZXI3EBI36NJXKGO4DVJINYJ5X42WXHF']
[2, 'spam_score:', 355, 'GABT7EMPGNCQSZM22DIYC4FNKHUVJTXITUF6Y5HNIWPU4GA7BHT4GC5G']
[3, 'spam_score:', 16756, 'GDPYUVUM6MXY5RUAWPTATGVWNT34DSTDNC3J6KGD4EAVW36XTNQALX7N']
[4, 'spam_score:', 322, 'GALIT7MEVQ5RTSFJKXLBO2NV3IQ2TVL4KTYFZEFGXTTWA3PGO6SKH7SG']
[5, 'spam_score:', 4, 'GB7BHOTZXZXMSV7E22VAORD5PLOP7LMPKU2LO46DY27452PRQWSPRF67']
[6, 'spam_score:', 16, 'GC2YY746MHVYZ6WNCJ4KQCQWLZPKGDKQCDQ67N22ZAMJV64R3BZWZMHD']
[7, 'spam_score:', 7, 'GD4Q2JDFZO4G5O2FXJ3H7W34YAVWQRZR2IKEGRWMV7CZGCWTPVBO634Z']
[8, 'spam_score:', 50, 'GCMXGHK2AAMQLUKPFAZPQZWB6K572QG373NPCRI7Z3D4R5GCGO5J6VLU']
[9, 'spam_score:', 79, 'GCO5ZM22BWXJHJQE36V2YZYGD537QYA4A25BWIHIIG3HW3YOKS6FLM4A']
[10, 'spam_score:', 62, 'GA7HY7JCZXIK6T4MHMKEW2EKTQ4LYTRX3OGTVHFLOXPRZUD77V56CYZY']
[11, 'spam_score:', 102, 'GCNGJ7SHB2FTG5WCOS7SG5JOZEE4NSNGQ6JEBRTMREXVOEUCG763QGKZ']
[12, 'spam_score:', 68, 'GBGZ75ONFOUVLPIBGK7U5GM7THEY3ULJGISJMZXCCC3HFLXAJBBGPCLV']
[13, 'spam_score:', 18, 'GDXUZ4TCPW3NVPOB2VMM7EREB2M2QY6MZQ75V4GEBPOJSKFR2ZSDT3XB']
[14, 'spam_score:', 74, 'GCW2NSWDRIPVR2IIHX45U52LHZBCNHJAOI2XMRJN66N64JRYK6YZNV75']
[15, 'spam_score:', 9, 'GAHPB4GM625SQL6N7BKFMEIET3LPGXING4CKX4YU6EGGMVRMZGWANHLP']
[16, 'spam_score:', 2, 'GBCUWTRW6XEFC5AYC32L74PPO7CQKTH2ARNHSN25TQAZ5Z4CGTK4IYJA']
[17, 'spam_score:', 60, 'GBU6MX6PVPNMHBMY3OTJOSC4DXMUOIOXDSOGNGHYFUT32WIS4BFADZGT']
[18, 'spam_score:', 6, 'GC6MPNB5PHDMXABQ5RR2XHBNUKOGG4W5QMNI52KJ3NY2R3L3TW7VQ4LN']
[19, 'spam_score:', 1, 'GBN7U3PZGERFHY6L5X3ZSHZ3A5Y3MXJY43KQMAYY4LIFEMY7AWX55N4R']
[20, 'spam_score:', 3, 'GA2Z53QUI7MTBDMSMCMROJDBLQIVDUVSCYSRUHHIXY7XJTV4ALQZY7BK']
[21, 'spam_score:', 193, 'GBYPJSV26D3O3HN7AYTWMZLUVZ26TE2E74TNJXLAUQ2DRJ7BMJRD7JRP']
[22, 'spam_score:', 0, 'GBYOTOYGM354I4IK4A3BM3HY3X6PKV432PBYQTWHZDAHAR3F5R5JEKQZ']
[23, 'spam_score:', 9, 'GALBS77NZKTTJNKWUM5COK4DUOCBLAXM7WO7XI4K46YHMVHFDHN6D3DW']
[24, 'spam_score:', 1, 'GAP6445MHUSO3U2PNNEVEGPYP2XAJINJYVCNHLJVTYKUCUV6LK5IABPZ']
[25, 'spam_score:', 1, 'GCMTFHZ6YZN5V7YEYV65G7P33YJNIDXRZBSYGEPKSWTWSVSUKGQGZL4Y']
[26, 'spam_score:', 0, 'GBLYLIQGYNMDT6PTXDV7GHPGOTES36J3CFLV32WY6LG6H6PKRULT6TGJ']
[27, 'spam_score:', 0, 'GBLEDEH7CNOUMQ6G4NPLHEMX6RAN34BH2J4ZNYLIA3TRRYPQW7XXAS5L']
[28, 'spam_score:', 273, 'GASIWYMNWHHEN6G2EGJXUQSSNJU2G3TMSUEAG5JFADD3HFZU756INWLG']
[29, 'spam_score:', 1, 'GCL6UI6KN2BQW2AKY6UMA67NH52WMJRA7I3MN2FNDNKRD26BPZFOL5OD']
[30, 'spam_score:', 3, 'GA62BPRAKTHDOTBDG5U5PYRTCE2GBGM22TPFN7O5G4IZHKPVYBMJ273F']
[31, 'spam_score:', 55, 'GBFF6AGW2TBXKBEGJAKMXPYV3MRTGCIJ74J66YSBOILBMJRRGLSLJWV5']
[32, 'spam_score:', 96, 'GC6GTN65XVEPUGRIMG2JJ5VN5G7SUCMUF7AMDCPHYXSZFK3PGQHOMATC']
[33, 'spam_score:', 1, 'GCZCTSIC35Q4ADJVCHG4Y22MBXX7F3KA5L4GY6A62ENWAQ5DRCY45GGE']
[34, 'spam_score:', 5, 'GBJY3SCI6L4NAS2SGNHGZI2IUITYW4HOF577QJG4FNPZYJ4BNMXZOCQX']
[35, 'spam_score:', 0, 'GCYZW5KYEMFVDMOW65IG7EFRELFAUOWM6LDEAMQQXUXOXNKBVSW5B24J']
[36, 'spam_score:', 4, 'GC4YQP6VRDGAPETAHVOAEGJPEV3VMBV6VZDNULHROBS6OSKM3FQHSX6V']
[37, 'spam_score:', 15, 'GDDOLL6VASCO6JC4WR7DKQLOCYAJLNCQAC5GUFN2673MGQKSWGJN4NDO']
[38, 'spam_score:', 7, 'GBJKFVSYTXXTYVDSTQ4T6M6WFFKCVHQAIKXTHKGBHDP7XZEGW6CSZOFF']
[39, 'spam_score:', 10, 'GCS2QRWLL5OXEZCWDR7DKU7XWLQYZJRBWVTTQOMWQGY4ZE6ED7H3DDNO']
[40, 'spam_score:', 7, 'GAZJKZ46RHQ3X5BO62WTWLHTSRE2OY5SQUJWOD2R63U6ITBVTVKYZNUW']
[41, 'spam_score:', 29, 'GCSXMFDVVDVYCCVOYFYAIE5GYGX7DPQFTSDRYBNEWR32VR7CEDSEBQWG']
[42, 'spam_score:', 6, 'GALADVKHBBBHBIFPDG3QPF2MLSOS5YUSOXC2TCRHK4PPY7NQBKG6SQJO']
[43, 'spam_score:', 1, 'GBN6BGWMSCZWR6IZH3BZDRAFLYFFSGMUHVUZK4NLMMVUN2QBZQLVRDOC']
[44, 'spam_score:', 2, 'GC2UOEV3AL7E5JC3UQWYAWVSJTXM2MQVWFIZRN4PRDKNNQH6VEHMWYKA']
[45, 'spam_score:', 24, 'GC2OZPCBZ5XJINXOODKNLLNVFJEBFEOW7ANRZDASFLH5SQYHMSSOUQZ4']
[46, 'spam_score:', 8, 'GD2JCZQKKDLOQSWI4MOFBW25KAUS4SZR53CYAH4UA473CVILRMELQFQH']
[47, 'spam_score:', 58, 'GB7PAIB2Y5LTBUDH6JIZOPHELWE6VGI4T4A7WL6GD3RXWTAK5UKW3AXS']
[48, 'spam_score:', 2, 'GBH5XX2CG64MH6PVX5YVVMEOULGKEPEQRHKJZY36V3VDHGH7KNCOPJCA']
[49, 'spam_score:', 0, 'GALFK2XAKVPJ2FSEB2GN242Q4GI4V3C6AZJ6774DKAHV3Q52IHXP6HNN']
[50, 'spam_score:', 0, 'GDAPIL3GMFS2K7RTHYIPLQVEAMTUZYYINUJFGOY4ZBXDA47IKNB22ETS']
[51, 'spam_score:', 0, 'GAL4ROZQJIITPATFXYOE5URCAQZ7T7QDC4IVQTFLLED2W2DFM4XKC7GI']
[52, 'spam_score:', 5, 'GBFBGH327JYTN754YO5YNHSCD2KGSYP34EAAPLPHAIJCT5BJ2ZLJJQRS']
[53, 'spam_score:', 19, 'GASZUJ5ISVHZ4S7HGKSHH6PH7NQ23RZWAJ7FXNXY3ZCWK2W7SXOOEKKY']
[54, 'spam_score:', 6, 'GCXVTNRXPLW34M2CJGCEYHR3BIB5RLMQSBDQROA42NQH5JY7YPGHDJIR']
[55, 'spam_score:', 2, 'GBMUXNGIA47YOSZ4UPOJKWRB73DLT4NCIHCWQ4HE2PZZKRIU6QKZZIYT']
[56, 'spam_score:', 150, 'GC74226ATIGHNSQTEKTXVMFPHBHNFBN52RPFJ5M7XGHU2QEVCDEA2Y2V']
[57, 'spam_score:', 0, 'GA7M5UTE7LSILW4PLWXPQBNBAJEG6KRNS6IV3MIVVB3PUWGLZTS7NCLB']
[58, 'spam_score:', 0, 'GCSUDKY6HMNHWQ3RWPPLALHQXOESF35M3BFVKCDFN2UCJN6LPVHVXMZH']
[59, 'spam_score:', 10, 'GAGPMF576AXCLIAIFSYQLWHBBAL4IEXH2FTBLDOPBQJC44RG7FTZKWRR']
[60, 'spam_score:', 21, 'GAD77VSCGR7NLK4MHG4J3QEQ7K2GNTBZNKGFNOXOND575U76DSAXAPTO']
[61, 'spam_score:', 32, 'GCCBY7QV3UW3URBMBVYH6GA2BDXKKY72DYTAOBKS32PYJ4AL47337PTL']
[62, 'spam_score:', 0, 'GACJKZCOPKGYGLK6OHPKYRF4ZNKULN7H4EYKENGL56OWZI3464VUWIQ7']
[63, 'spam_score:', 19, 'GAWUQJP6XTM3VTXQ6QATNGG67B67LT3JPUFZ6CEAZQDBF24EG367IE2E']
[64, 'spam_score:', 66, 'GAT2IKYN3EVAIKMXVQOJIC6G72QI5PGQHGQU5BRHD5DAN6SPYPXQBFTH']
[65, 'spam_score:', 26, 'GBI5FVKS54A5GPV3PZWOVJKPXAUAC7DH67IGGZ45FVG3P4CYPXERHCEW']
[66, 'spam_score:', 0, 'GCUEA6V4GR3BAQVY3G4OCRW7LMBOUAMRLKOKZXFERZPBFA3MSGPY7HRL']
[67, 'spam_score:', 1, 'GCV6TWGZ5SYDUTLGY4R2DL43XKJMCQCFHQVKPX2FI54SZIRQQ437MIHS']
[68, 'spam_score:', 0, 'GCZ5TX4MCD4COQO7KGNNIHHMN6VJA342JC3VABWGVH4R5AUOGVQQNRBO']
[69, 'spam_score:', 5, 'GBJHMS4QZWJG72ALKXDGEAZHPNLFOGFZRW4P3RAIO52W6UXORYVXGIWJ']
[70, 'spam_score:', 29, 'GD2FLKHWZ7LAGCREH7E4OA6IX4QZKCJMDFGWY7CN76VMROTCXS6YXYGM']
[71, 'spam_score:', 0, 'GBQR3DBK4JIIQWG36NDLOACQWNVTCVTJO56E34B6335REDTLVNBULELC']
[72, 'spam_score:', 0, 'GBELSXGMENWQX7MZOGV2OTYPETNVBTUDLNAW3SIBXSXLFPPXMII2HUEL']
[73, 'spam_score:', 3, 'GCRN3LJA23UVYNBKKEODOK7YEACXML32B4UYLFOL46SMPNG5NEWN7CKJ']
[74, 'spam_score:', 1, 'GDAOPGPOG3BT7I6YLQEUS5WMIYB7CHWKXJASUYVSHPXYYI5DB3WW7VUA']
[75, 'spam_score:', 16, 'GDKSKNJQVNBLDUIVYPGRH5CXAMALR76RSVCGCI5TO6WXEIC2CJS4GN53']
[76, 'spam_score:', 0, 'GDREWJ7XBVH3HS7QUHGZEYVYVALSKAC3G7DFXYQSV7GMHIVOYEE6HFYZ']
[77, 'spam_score:', 45, 'GCNFXJ5CTH3FQBPPK23K7D34YGFKK6VQRP3MTHCJKUBBFC34KJUSGCKA']
[78, 'spam_score:', 3, 'GCH373AA2IQX47V34IF3HE6IXU4T4Y7K6Y3GDGX6QBN5HPNN2WVDULB2']
[79, 'spam_score:', 0, 'GCXDWSKFB7375RTN3XRJAY6A3SHLFFR52ZMUUZDAL7KYOQHSPYAD2EVK']
[80, 'spam_score:', 2, 'GAICKBJYXEZN6ZVGDHZF63UL5OQ6AEQEJDZGOH3XXEBEFLWUYJDNXEDD']
[81, 'spam_score:', 2, 'GDRP6NKAS7IHH6PKUISBM4VAMBJT4BS5WMJQVEIE2VLJKP7I77FF5K5P']
[82, 'spam_score:', 0, 'GC4D4NSMEIZD4CEP7QUVS3TNZLNMLGSBIUNAOX2MS7VY2CS2WXFZXPHP']
[83, 'spam_score:', 76, 'GBXS2VLVKKZ7ZVNTQ2WQAIIFIZXTIASF6ED6RYD7HPARFXO6XZIB4PSI']
[84, 'spam_score:', 16, 'GCG6SHXKDXKTY27CERZZDAN2QXDGEHXRA54A5G4WBKCFY243Z4OBNGAA']
[85, 'spam_score:', 4, 'GCKEVKVFP3OPENQUVXCCAQYCCO4WJINPFRJG4PITXOIBKNYNQFX4H6YJ']
[86, 'spam_score:', 4, 'GAPUTTUZ4BGQNACEAOILNJC3A2DY3IIEZHYWQD7OFUA2I7FYGXPKL656']
[87, 'spam_score:', 20, 'GDRAOJILUKIZBVPXMVC4RESLONX3AWSLWIHQ63QZBBSK7E2HEKV64Q7L']
[88, 'spam_score:', 1, 'GCD3BAK7KTS5XWNXEMA4354MKFQF7RLOBSVWRIPKGJJMOWTEGBZM5UVF']
[89, 'spam_score:', 4, 'GDBM4CGP74WBLNQJAKXCY4IURIN4UBOETGWJMO5NNYNJJIRYO6OP7U7F']
[90, 'spam_score:', 0, 'GCPJ24J6BU5JVHREWBX4VMCNAB3W6ARRNPRDH5FITLEHFEMHWCNSHSIZ']
[91, 'spam_score:', 3, 'GBKCI5PRQK3HH5KXZJQ7P7AXUELTWB6D4O6NB22QJ5TSZOKDAQFDWJEP']
[92, 'spam_score:', 12, 'GC2FTIFMM2OPHWZX7IVOYWOOHR7ORORM27PTQWL4J64ZO7LX62CUAHND']
[93, 'spam_score:', 3, 'GC7TMJLRV2RF7APSXROGPP2VBGAAKV5FI7JYAWKM7OVMSOMO6TJ5LT45']
[94, 'spam_score:', 5, 'GBFO7JCILMOVPI6TFI6YSV3A4PCFKVQQBF5NNK4NVKNQRLPPNSHK2FNU']
[95, 'spam_score:', 7, 'GBLFS6TEHFHVHGXXMMEAQPQT3R5COZTTRFIW2OAGB55OAIHIYY47NN5R']
