top # of balance,,spam_score,adr,balance@0516,note,
4,spam_score:,331,GALIT7MEVQ5RTSFJKXLBO2NV3IQ2TVL4KTYFZEFGXTTWA3PGO6SKH7SG,"888,207 ",,
14707,spam_score:,324,GCSWEBUVXPJDMPT4G4LOJBZ4EP63ZOTXNP5LK33YTKBAMNZQV6KNISPC,1 ,,
14125,spam_score:,313,GAQOT57SCCXNKAEWSM5BSZ4XTMWNWGPKPOPFJ24RDE7QFWOZWW23JTYW,1 ,,
10739,spam_score:,306,GA4K5M7VDZ73ROR3SJGARD6F53XAQ5RXPZESBOIMHQEQRZDDZ2HKPSJU,122 ,,
11143,spam_score:,292,GDRWYSY5I52GH2E7BHOYI4HEYA7ELOZEZBR3GCKZZMQCMFIFBEGUJAUJ,57 ,,
24,spam_score:,290,GASIWYMNWHHEN6G2EGJXUQSSNJU2G3TMSUEAG5JFADD3HFZU756INWLG,"131,994 ",,
109,spam_score:,281,GCSYT7X6ZEZPAEDAXYQOEYVPI7HVOI66XMSWS2PQWXYUXFHX5TZC5GLK,"50,431 ",,
11704,spam_score:,277,GDJGC7AQLBXHF5FKJ6CDMSQTRBGLFB2R4CHKAUXIPO34BSPIN5NJNC7J,17 ,,
2146,spam_score:,256,GCDEYJQHZRVR4ISWDFNXS3DEGYIUOYX6K36UIGXLY6WLHGHSIJ52TRHO,"5,442 ",,
10248,spam_score:,254,GCYNLXQNGK4PWXYNJLOUGQGGCCF5BTXHFLMXOUH3EKYM6L3MSU6YRU6B,301 ,,
6053,spam_score:,248,GA2JIO74PYMJNVJY7ASS4ERYVKCPSINISH3EPLGCAKA5E47EJNHAEYGU,"1,722 ",,
10185,spam_score:,232,GCD56FNP75LQYBHLSAL6FIEWHD2NBSBFEZZ3TFDT35FXZJXFICBK4QG6,323 ,,
2523,spam_score:,229,GBFMTJFT3QP2JUYRXVJUPTBC7J5FRQ7DGV47MICYOH2KKXCT3X4PU2J3,"4,891 ",,
5122,spam_score:,229,GCWDJCMHQGC2AOUTUCPGFPCTWWGLEZZNSFHXHORMJ6VCB6ASITR2EBHC,"2,176 ",,
13072,spam_score:,227,GBMFWIXLUDSJ7JR6EI2AUEQLU6SQ75LYD4SYUDKMHE7FKJRVW3XM6TLR,2 ,,
3161,spam_score:,224,GAE4EFOAZOQ2IEX2SWCD24HAAOOTP6LHB2FWP7QFP3H4SMNYNPTRPFKL,"3,913 ",,
13951,spam_score:,224,GCKLOZZUPWIVK4ALCZTV7WURI2GA666T5PMTKDPI4S67HDCU37O2Q3PW,1 ,,
12372,spam_score:,219,GBRGOXM4HWE25WZWP76CF2FUSHMKPVUCD5GIXKQBJ5EJTS6UHKZF3SG2,4 ,,
3263,spam_score:,209,GC7MYR2ZAEUOZPNBDGIVJA34TKVZCUXWNI6B4YA6YXFSX65H32WKLUKQ,"3,752 ",,
9518,spam_score:,204,GCQRR6THC4IDVYUSKPN3DE5J4SSEMJ6UHFDGGAN73QQ42TM2QIF3SOEH,527 ,,
10884,spam_score:,199,GBYXWVJVVJHRAILNRL5KWJOHQBHLFP3MTPR34VUCFQTXOFIQKWKWZOJP,95 ,,
13077,spam_score:,198,GCXFNZJLK5BNCYHFHE2HAKOJ5ZNZKDJK6MOKIJVRWNOND4TRP7GUF77Y,2 ,,
14056,spam_score:,198,GCDX6CKF7UR52EYOQFHROF22W4MJEUNCDPKEXGRSTDPJQ3F45K5QZEDH,1 ,,
