top # of balance,,spam_score,adr,balance@0516,note,
670,spam_score:,19,GDWPNETDKTZFXZWSI63QFQIETBRCLQODH52FFM7WD2L6ZGS4QKTDI2JC,"14,847 ",,
906,spam_score:,19,GC7JBM76R77WKHHEZVS5VY3YJH34ZLHSQD5SLGLGWQHHBZRQ5FLVQ6IR,"11,069 ",,
929,spam_score:,19,GBQLQHC4N5XWCDZGEUCB6BQJQI5AOABAQM5BW7245LCTCYZFLW6WUFHE,"10,801 ",,
997,spam_score:,19,GDZFZQHTWPIA4MU4IP4BWC2G3VD4Y5ZM2GDZAACRZ63Y5PJSG5AMOSXB,"10,240 ",,
1399,spam_score:,19,GCYSQF7HXSGTI6PKTTKRNCMEBNTZKOLNDA46RG5RGYBZZJYIPAEKT3QP,"8,109 ",,
2070,spam_score:,19,GCJVY5JZUNZIWGERX3KUS3GFXTC7UTE53HR4NW3XZZP37A642ZZTTZAH,"5,644 ",,
2076,spam_score:,19,GDMVRM6XNAWKKQWCDHAKZVGOTJ2P3APXPFQNWLOKRTJ4OYCM4NY5ZGLV,"5,630 ",,
2117,spam_score:,19,GCXO3FC2UBZ6EI3CK62DZ6FV733S5U2NMDZOKQ46IZ2L2EYFTJEOPQG2,"5,501 ",,
7300,spam_score:,19,GD2Z6NORBPRBM2ISQQBR2O43WONXSUJWHSAHWO7XNOJKBD77XL3C57EP,"1,161 ",,
11198,spam_score:,19,GAHAEL3IWZXBR7IM7YGXU5Y3RIYBXTDXUOEPR53YMJDIVXWSBVEV7FK2,51 ,,
11812,spam_score:,19,GBEGM7E6ETXUO77KNR7D4FMQTSCIJ6IMGV5D3ONGL7IDYFS5UYHLMKPI,12 ,,
12284,spam_score:,19,GDGNJ5NT6J46RQTBQEKD2ZPNNETNRS3TQX5KMOYSQTY2KAVN6Z5LYMUR,5 ,,
12561,spam_score:,19,GC6FY7GZIAWED6UTR2LIDXIGBN7FFDF5BRUG645PNG5Y3VUCAEHVBQL7,3 ,,
13113,spam_score:,19,GBM4TJPRKEQ5IVSOK4MXFAAKVGFJOQHHJSJVFD7WD3HCZZKCKC2B2ZJ4,2 ,,
13736,spam_score:,19,GAPCLUKKLSXR64RG4N6SYLNB5772I2MCS2W7DF7YEKILM2LXXFVY72E3,2 ,,
14480,spam_score:,19,GAONB5MKXVSTKYI7CV4Y3PLXIS7VHEBAEM6IKCEKFLNYN6YS6HCJP5AR,1 ,,
12,spam_score:,18,GDXUZ4TCPW3NVPOB2VMM7EREB2M2QY6MZQ75V4GEBPOJSKFR2ZSDT3XB,"175,825 ",,
130,spam_score:,18,GBBJBGW3HIELVOS75XJRWFXK7LKUJF3ETHDMNODFMNHPFS6Z5OLCUBYY,"46,290 ",,
325,spam_score:,18,GAJZPFQOLQNIDYUWCEKSIA5BI6QWEGY7UCCRDF4GIBFBNHBVYLL4EEEC,"25,612 ",,
1943,spam_score:,18,GA66YBKJTPSUHZ5X7KXCRGZ6O6CKTEXWGCI45N6GD7JMZILHWPE53ZRR,"6,007 ",,
2781,spam_score:,18,GBNGDD4FIPXJE3EFWEPBH5ST7WRXERZINR5F2HBMR33EAZ2KH25DVHLU,"4,398 ",,
2853,spam_score:,18,GAZDAWNIP7X62NX5JEZXJMU2E7QV777EAQQ6JXBJ3AL2BV4RGV5C6NAV,"4,287 ",,
4072,spam_score:,18,GDPV44HUEXV3J6I6EG2GAS25YXG27NJDI3IZWHKAOTDDXLFBT6ZGWWLI,"3,002 ",,
7151,spam_score:,18,GDVP6RSDU4ZE4DTMFJNGPCUFIF3CYBBS6FVHAEMCZTEGDSL7ONGWGJ5X,"1,206 ",,
7453,spam_score:,18,GDMKRMN7RXHDXZICN4ZQSMBJD5YIIMDHS4GE72SHQ2Y7ATF3NOCT4ZOJ,"1,116 ",,
8881,spam_score:,18,GCEYOYR5JGN6WNUNMWFSTMA2BDS4OTFGDYTHPVAJEYSWCZMQ6BBBUE3U,746 ,,
9324,spam_score:,18,GD6NRVNFXLSAL4PQIXSGR2GSYVON75DAQDK3NJDGRDZIFD3WBUAGKFDV,579 ,,
9971,spam_score:,18,GAXOGFCZVO3WCTIGWFKOIOPP2XL7LH4B6H4QDV6GWU6CCDNFSTHYRLNG,450 ,,
11460,spam_score:,18,GCFUV3PWFVJZNX4WGPGEFNKSGSY7Y2WONAN2GEG4C4KJK47HTH2GLYA6,30 ,,
12694,spam_score:,18,GAB5HA3T33I63VHEUSAP6IBPVHL5NKSLRY4OEKKB7P5USI7BRXXI4FPY,3 ,,
13610,spam_score:,18,GAIHJTCXDNOG5VYSRV4ZPV6IT77NFEUG62ZQOIPJIEJJXENURW6RDUWS,2 ,,
13918,spam_score:,18,GCBIGJHKTSGAZSDA42AU4SLZIKOFYNRUIN47YPVIQ64YTA6DYT2DS3KW,1 ,,
14541,spam_score:,18,GCHRZJQ7GCF7TGSE2UTFINYTBFARDGBETRGDCONTLPKDCZSEAXTZ2VAY,1 ,,
14798,spam_score:,18,GDO6L2HJBRQVI5GOFXVMEUH2C6EU2UMBPIC3IPLOACFHTE7EKUTM73XM,1 ,,
20,spam_score:,17,GALADVKHBBBHBIFPDG3QPF2MLSOS5YUSOXC2TCRHK4PPY7NQBKG6SQJO,"143,213 ",,
119,spam_score:,17,GBFHMLUPNY2KBCC4G2GMEMVZ5LFZHE2ELOZ4LGJWZ2JMI7PXLP252P2B,"48,752 ",,
654,spam_score:,17,GBAVEB3MAQECG5A2ZKRLKSGKAHOTHN4J2PXJVCEYFRLO5RW4N5GQTBNE,"15,008 ",,
957,spam_score:,17,GBJYMIIZZRM7PSMHMSZAQG2TTQL7HQTPFZHQJZLOZRCTMMXPZP6VTPIZ,"10,568 ",,
1043,spam_score:,17,GDAMYUWBKVGADHPJIPUYJFBKOGGRELCY2JSNAH6TQA4WZRVXHDNG3OET,"10,030 ",,
1705,spam_score:,17,GAOLXXT5CLODSGGY6V7X4QYVFXSG552BG76ZXGHM5XW3A4TFME6F5YK5,"6,838 ",,
1834,spam_score:,17,GCWZ3TG2ZDN26HFFKMYF4KH4WHD3QP5YB4KOEDBD3ALLDTH5CT2JWPP6,"6,323 ",,
2818,spam_score:,17,GCH2KFTOPXXLSK74IMV5DOBY7KBFWTTUPZQTS6O67T6AZQVIT3Y2RQYM,"4,334 ",,
3037,spam_score:,17,GAIBRYAJFFLW2RPLZ7WXNWDIMZVT3E7ATSDAUXZ7EJCDTRZOV25HDSFS,"4,026 ",,
3730,spam_score:,17,GBKBEVW5EL75UOIBWTWQ6CN77LFF63VPD2X5N2JNS56PCQDIVRG7IUK4,"3,217 ",,
9172,spam_score:,17,GATH5OIHB2KOVWMRDR6TWDSKBORNE62L2WDP3WY3TOAO4W3TB5Q3EMWV,633 ,,
9503,spam_score:,17,GD6SLGT23NKZCBBDYUCD3HTS4CSPNEXJCJC6ARSESLUTZGQW3BTCKPJ3,532 ,,
10125,spam_score:,17,GAMS6JIZ7YGLGGW7XTOZC5KPZAIVAXEILSGW4K42HCHAECZFR6N5ELF2,361 ,,
10817,spam_score:,17,GD3COCK3ZEWYBUMND6L7MTXMGR5YWUUPEWGFXHWAHN5QSFILXLNVAQ7X,103 ,,
11140,spam_score:,17,GBYIR3N2S2PWRDTKRJGFGQVR3OHFAGNTKRXFIQBIATGPQYVVS66E325V,57 ,,
11300,spam_score:,17,GDGEOJDCYENKMRP7RHFNHBG3KARO7QFD4D5H5HKIREHBBVFFSAGV2QYI,41 ,,
11901,spam_score:,17,GD4ZYRV7AZFDYYYCGVNLQCO63VS4LL55PEIXKDTIVPJ75FARQNZG6B6A,11 ,,
12082,spam_score:,17,GBIZNQ62KP3OIWQ3GUD2LEEQPJOFNT3FPEOHOGIADA7CIYIJMI6E6MJ4,7 ,,
12826,spam_score:,17,GDC42RNKNWOZMUHDQHT52NWOEV5QGXARGVXIX5BYWHYZXLUDCI66ASOO,2 ,,
13070,spam_score:,17,GBQ2SW4QK7O7NWCUSOJPXZNTJL6TK2IDUQSOAPI7TEXT2KDGBYEKPSDS,2 ,,
13397,spam_score:,17,GCFL73PYQ7VKM4DUVBECH7EQXCFL2YSR5KYOPFEIQM3CB2NYUIYUDUEJ,2 ,,
13499,spam_score:,17,GBLEGOVUACG2K5DLXY6BJUJDFLMRRONZQZ5Y7XXC4L73GRV7OZ4LOBSF,2 ,,
13502,spam_score:,17,GADHIFGPJAEWUPYNP2DHUBYGQTCZREBVBQDOOLZLIO2PIDOGNFNRK7OT,2 ,,
13571,spam_score:,17,GDQBFEMTBEDJMLF22MBWZ53Q7WRME2NNLWXBZ4EP33QF6UFRRWZB6ZDA,2 ,,
13827,spam_score:,17,GDUK7D2EWKDK7VQCFQTATVSUXIAHMH6L5WFS4BVGXP6OYUUV6KVEGWWY,1 ,,
14457,spam_score:,17,GAGSWGNYAMXYIHMDLX6HLKU3UTJLA5ZD5PKIMNXM3VFQHSLP2I5LGQ66,1 ,,
5,spam_score:,16,GC2YY746MHVYZ6WNCJ4KQCQWLZPKGDKQCDQ67N22ZAMJV64R3BZWZMHD,"272,552 ",,
75,spam_score:,16,GDKSKNJQVNBLDUIVYPGRH5CXAMALR76RSVCGCI5TO6WXEIC2CJS4GN53,"67,460 ",,
83,spam_score:,16,GCG6SHXKDXKTY27CERZZDAN2QXDGEHXRA54A5G4WBKCFY243Z4OBNGAA,"59,748 ",,
127,spam_score:,16,GCISMQEM7CBGXIFOV4BPTUOA4FGNU6FXSGZW6L2HXSVGLRS3ALZ2UQ7F,"46,685 ",,
226,spam_score:,16,GBX5DFOALFXX5HUSP7B3IJ62XZF54IM2KV5QT52QBYNKCOGFXRQO63SB,"32,466 ",,
882,spam_score:,16,GAZGCLXFRYTVOPAKFCF3KHXKDUBSVMNQRTZZIWKPI3OEQOOAFA25HRK2,"11,315 ",,
1079,spam_score:,16,GDYRL6ONCCCUKRIXRXSZ7L3UWOKD2YYDHGZP6LJKNBCTN2PFPY7RQ7YW,"10,001 ",,
3151,spam_score:,16,GCVKDXPIRLWP5IQSKUYKAYEMSAJDOC5MBPO5YE35GZMEX4IGFTYNR2JD,"3,935 ",,
7227,spam_score:,16,GCQJIQYPS3LG2E633VWUZEYXMSS7OVFPNNLNISYWAMV7RJIAYSLBJU4P,"1,185 ",,
7871,spam_score:,16,GADVHY5ID7FQBK7WGZLDOZE66MKMUUT6OFQB7HNZVXZTRVZTCQZPP5ZO,"1,018 ",,
10164,spam_score:,16,GBUHMTAGBBMDHTXQOBHVDBMBTB6DWELSJLWSGWAJP6MIPAQ6GNHGPFFD,343 ,,
10381,spam_score:,16,GAMEEKX2J45VRNGS4NVE5ACPZTQHDOCRXS3QWO5SS7WLUQUIGJGMGAKI,238 ,,
10674,spam_score:,16,GBTBJX2BRSSNG5VLXZDABHSGI33IGLPDPBXDR4H7RBZLBMJ5SXON5LMQ,139 ,,
11344,spam_score:,16,GBROFEYTMKJOVKA7YQD276PIPEW7IIO45DSXC5OVBVHRM6Q4MYMRFKAK,38 ,,
11546,spam_score:,16,GCGNDXZCG7DOVJHK25HZEMVFAVVGZDMIF6ZZR3HILLXLXHTFY66TVZWA,25 ,,
12179,spam_score:,16,GAMQF4BMZE445ZWC5QPLHX5V5D5ZIQWS5PRPUYVZTOZXY4NNJMH2M3KU,6 ,,
12245,spam_score:,16,GA7XAZMYZB322XENZWJHVTQYIZFTHDJUDT3BTTCEWLRUBXMFBM2FYAWR,5 ,,
12497,spam_score:,16,GAXYJH4O7K65NAW2AVYG5DOWUTSP3WZPZLTMHB6CVDIVR6EXJMFDDL3D,3 ,,
12515,spam_score:,16,GAUT6IJW3VOCOFLP4QSHW73VAEOWCDOHPQ6IPSHWJHAXYZJWRZXB2L6Q,3 ,,
12605,spam_score:,16,GBFGVICIXZHRSPMTVSXB66HNU24OK5DT3WZNCSOBOYELZSUTE7VTADWM,3 ,,
13478,spam_score:,16,GDSXRAYGQQDY66ZKFWVIQZQAK2MRNPG3MK3JBAYRU3NZE2YJ2EN2SZFH,2 ,,
13695,spam_score:,16,GABZFXLEXPTATSMLVSI24VCSEF3IL7QL7LSQRH4OO52T36AEAZHCO6UN,2 ,,
14082,spam_score:,16,GCEKG5R6CHNS6T6Z3SKMNDAMENDR6DAJ3JHQODAADU7RGHMSP6P3RQKD,1 ,,
14092,spam_score:,16,GCMBDFJPFK3UBIJYGG4T27345MOW5CX6HY6YF2MS6I4PFWPLP3XKLTYM,1 ,,
14124,spam_score:,16,GCJPQ5SAGHNJ6RLFAREW5OTU3FQ6T2ZF3GRGI23VKMKWMHLVZAS23K2C,1 ,,
35,spam_score:,15,GDDOLL6VASCO6JC4WR7DKQLOCYAJLNCQAC5GUFN2673MGQKSWGJN4NDO,"100,006 ",,
236,spam_score:,15,GCMCRWBZIWYPENMAXMOW67KQ77LBFHFMLAO2XPESCMMSISU5VK2KKZI6,"31,826 ",,
254,spam_score:,15,GCGV2JBDJV7QVUZ7SL7QL6T2ZT6RMZVFHCRRSJ6FPP3IO263IAVGMQVT,"30,119 ",,
836,spam_score:,15,GA4EMHE2LIQ3PHUQ4EQA3CRXBGKVUJUJDL6VBEC3VDDZBJENZFDVBDYN,"11,902 ",,
1091,spam_score:,15,GASSWE6RYP7YB3TXDXJGCALRUE6LYSP4ELNCDYL52R3RQ5TQYRJRSZVH,"9,972 ",,
1114,spam_score:,15,GAOZBLPSYWRHVL237JCZSUD6LRPD4OSQF7N57BRBKJGGFBMH5OMJMALQ,"9,788 ",,
1203,spam_score:,15,GASHUPPXEG3THF23YVDOOFL5TYEAI27WJBBNWY3GJRPG23IWL64TNE3H,"9,203 ",,
1209,spam_score:,15,GDKSA6KFOFJIORVNALZ5XDM2EGEGI4QV5U3PBLT5VPTCSNERHRXTMZGQ,"9,183 ",,
1277,spam_score:,15,GCJWRG3SQ4F4THAOW7FZM7764RVJ4VSEFY42V466TS6KUALYPSPJJNEY,"8,848 ",,
1622,spam_score:,15,GDLWZ6574M7TCV7TKBTXFHNMJMILOWYM4HQA2BW3FPTWEE3A3KWXM2GC,"7,069 ",,
2534,spam_score:,15,GBS4EZATUDIWXNUNOPXKJARVHUXLGK7RBCMTZQD5Q3TU4RD255FJKXT6,"4,839 ",,
2546,spam_score:,15,GCVFR3END2AGQHSGTQUG6OEYP6F7UHQGH33UFPBI5UA7XQDFHXTO4BWN,"4,819 ",,
2740,spam_score:,15,GC7P75A6JNGYOI2ORGBTELDSLFU7WRXEDJKRKDFK54FTZL6W3SWZWLKB,"4,475 ",,
2923,spam_score:,15,GDAQERU6LRRESTZRSVGHDOGP55ABMYSRI3A3NCGDYVP5AQM64TM3ITY7,"4,187 ",,
6618,spam_score:,15,GDARZ4LXRJMO4SG35XMSLDQXDXIQCPWUPEP7D2EGAKJ5QCHNA3OTSLPJ,"1,484 ",,
7078,spam_score:,15,GDE2I4LHSLR25GPKR45O7FD4ZJU74Y2TEO7AN4Z3EIDYNZWUEEIIAABQ,"1,236 ",,
8112,spam_score:,15,GCC63PT6ZHFZFNU3IZRIOF7U5M25K7KLPDQNSFY4XJJ2BWNXWUEYDG6U,"1,001 ",,
8348,spam_score:,15,GDL6LPU5AOPP66OP65KVMO7MFMSYUWDTH3WOO6DZGF4PRVTOG7K6PJDI,978 ,,
9017,spam_score:,15,GCFAH6NHJT2W7WJTNKVPKRNNSZVX4LSCC5TAXFFMOBUNPJSBXFAIWUBA,700 ,,
10087,spam_score:,15,GCP5E2MVDFLBO2CORLSAYIU7PP2ZYN6I7WAOSC3MFN3KWC7JV43KT7EX,380 ,,
10169,spam_score:,15,GACXRQGLRZCP4FL5M57KMFK24ILGQ4CZSD4M7XNY55LDWJRYLXZPO5UF,336 ,,
11164,spam_score:,15,GCQ6MIEYXFKGCPHZISGADMT7CLEAEMHNJOZ23NC7MNPZNE6KWIT4NWCN,54 ,,
11543,spam_score:,15,GD4VQBGXTXZTZFLRIK24BELD3RJQZILTLRR3ZWKEGY3KHZMDLV77VFU2,25 ,,
11706,spam_score:,15,GBNWUKUE7ARQFE3BC7YZ6LXDS4UEFULH7N7HOI42IF44ZBQ62NBEVZSX,16 ,,
12143,spam_score:,15,GAAZ5J4Q3H74WMBWHNWBKYW35PMCNVK3ALA757C5KE6BICNPBJGJSK2R,7 ,,
12288,spam_score:,15,GCYVVGZ3AX5JPLH5YAI5KTH3EHUDWBGJICLBJVQOOATCJEOUS6GIPWDT,5 ,,
12732,spam_score:,15,GCNR2U4RDAXRKBXJU5HZXBSAIY4NXL7YFTA6GXQMKUGXJVUKH3COSTQ7,2 ,,
13238,spam_score:,15,GDPABSEASLTJTBPJ55WSFFARXLHGM3LFOOURCZYUYFV3YX35L2LA5LL6,2 ,,
13545,spam_score:,15,GD5QBLHSTHKGHP326Z4ECAN4BGW7MDFQ6RMABHWLWPAAZH7ZDWFBEXLT,2 ,,
13547,spam_score:,15,GAV6C3BRGWIMLO4QGKDXPFIJNZIBDLKYDEGS64A6HHJAKAQNL3T2NONH,2 ,,
13556,spam_score:,15,GCTSRZAHUT2PJA7BKSRFCUTHPR2KFC5IKM56AMHQVG2NFBKRSN3YANJR,2 ,,
13563,spam_score:,15,GC7IFTLIRIS5YMFC5EVKZW6CWLYSBRTDZ7RWUARISR6EJLJITNLFAEK3,2 ,,
13604,spam_score:,15,GBRFG5P3JFPCY5VM5SD67DXTEQDBVDJAFBBBGUJ4PIL3PFUJFQ4DQ4EK,2 ,,
13685,spam_score:,15,GBYDHWLX7XUQYYGBP6F2TTODMTQRZOLFN55VNJETCRYTIBK44BIZ6NGI,2 ,,
13937,spam_score:,15,GA3SFCQVRU7EA5LQEMBLASGFYQOEL6N6OY3LMF5KJX57RH2XFQYYU6EM,1 ,,
13970,spam_score:,15,GBIVTMQP7SWDUSLIQYLEP3JXDAVBUFJ6GNTRID57UDF3CDMIWRU4INVW,1 ,,
13976,spam_score:,15,GAHZUYKS6Q24FUN54CGNKD24XXZUBRA7PBMEZ62Q45RBZM6IQWUDPQBT,1 ,,
253,spam_score:,14,GB3OBWXMJYZHUJOLVVQGWJUDGSVEIRQOPDOENLKVJG6XR5KG7ZIWJW2R,"30,157 ",,
320,spam_score:,14,GDJP6DNJKMRF4XXIH6KUNUML3I3NIAQUEDM5PRZBACVSAY6S5YV7IGYY,"26,001 ",,
393,spam_score:,14,GAI6T3I737FROIJ4XNYIDFIA2EQAC3WXEHGABKYF6OEKOEAWMZMTLXH5,"22,139 ",,
430,spam_score:,14,GDA2D24NYOWDB2CLLXTI7PKQWDUKT5THMZ7COS52SBXNMAC23FW6VYQC,"20,973 ",,
448,spam_score:,14,GAFF4BRNPEWGBJCQPZHCJCWGBKDVHJIU5PS26MVKFBXGCGKXYSAMLWVJ,"20,367 ",,
500,spam_score:,14,GCG2PW2IRE6UTZWXCFYYKFANCDI7GWKW353JN6ZNSRRLO2TRJIV2A2WA,"19,353 ",,
521,spam_score:,14,GBPHOXP4DGWJG65HVNLI36QU5HB43LN2QGX7TGPASUXAXM6KPUYDCVKM,"18,274 ",,
573,spam_score:,14,GDJV3GGTQ7XX53IL7E24B2UMFFOTN7NC5527MAH5BXAFTO3TJIFMFAIE,"16,782 ",,
833,spam_score:,14,GD534TRW3X727HVRHJ4J23ITLAGL7VC5YK6XRROCICESM5KODZBM22W7,"11,937 ",,
1800,spam_score:,14,GBWNJP6ZGAZQP2BH3QLE4MEMHFXA4JTZSCLD2HO4MUVHBCDEKE7XWP7H,"6,464 ",,
2681,spam_score:,14,GCZX5ZZVG2J6GER5XUMKDWQ4Q7X72VFFTKVUHZYOJZDRD76TDOFOH6MU,"4,565 ",,
3541,spam_score:,14,GAQQYUM7CBUC7VTWTJYYVLUHJOS4QK2BIRMKNEP5TV27D7IYZCOPWMOV,"3,420 ",,
3624,spam_score:,14,GCDHQTYOTBPMNA4MGRE2KKUVUKBTCDYP2QBRMFDMJTXRAV5F7H7S7MKA,"3,338 ",,
5080,spam_score:,14,GAPDMMS57BSSVMKYACILSSXGM5QHK43XEDCMVDQN5OXVM75JJHOPQOIS,"2,207 ",,
7489,spam_score:,14,GDQJ2XIRJXIWC6UO674LVLZX2XSZXTJQ54KPACRWUFK2DCRLBISNYIMN,"1,105 ",,
11331,spam_score:,14,GAFAIISZ3L73RUMVT2MXVYDNWQVWRS7NMZDPFLMM6IXOLPHXVLLLNMVM,39 ,,
11357,spam_score:,14,GCRM662IRFXHCFHNQY5F5OPDWLQZDIFIZMXRH5H4S7URAHLUPF6EI5DG,37 ,,
11459,spam_score:,14,GD46J2CDXJ3DO5UPUOCVYM3VYNGGUP7HNL7DZEI3T3RSAEX74SPLH2JP,30 ,,
11886,spam_score:,14,GASBXZG6ZKOE37Y53FRBWZYRHYTLWRGC7HC6RS46JZHLKOKK7PIWEJMD,11 ,,
11989,spam_score:,14,GDETKGLTBPHXSF3DCZXU5WFTQXNQXTL37M3WD6NTTBCYJJGLF3GEKTRB,9 ,,
12392,spam_score:,14,GB7AS472ORGWYN2ZMQK7URJK2XJZ4NVM6PZLJWI5PGDPT46GOT4N3BAS,4 ,,
13220,spam_score:,14,GCYUM5CXUJYJUVM4NCCMORF7IPBWA4PFQH6EANTLAHVDU6YQ4BSSKZKC,2 ,,
13799,spam_score:,14,GDGLZYDJ7ZEMPH3YB4QWQYXFUM76ARVPIDBYRLVL5TDMFIN6J4U66232,1 ,,
14127,spam_score:,14,GBORM3Z67VJNGQLWGBNRLLOF66WT7YXFL2JMN5N6LA3OT77AJXN3X4K3,1 ,,
14159,spam_score:,14,GBI6ZZA4ALQOYPOAFNDFQJGH3C4WCO5MOCHVOKV234YJWXTG2FFGHAED,1 ,,
14219,spam_score:,14,GBSFERYKVBCLQ3WAHVPBEYNHSHFH5SI4XBOKSOMKHL732QNFTIVKO5HJ,1 ,,
14357,spam_score:,14,GAQN6VW6MNVPK3VE2YMLV3EQJ74VF2HTLCVA2VGWOQI774VHOZZCTVFW,1 ,,
14610,spam_score:,14,GBAXNFRKWJWIKERP5IGPAWENTFO5IPZGYUPFTXKFO643SIVVDUIUHXYM,1 ,,
208,spam_score:,13,GALUWPZQE2Q7SSSUOJMTARPFV7QWXYW5PXSXUKPWT34CCXU6GXTXCV5W,"34,195 ",,
336,spam_score:,13,GC4K3VPHVQX73M5RRH6GTO2B4ICC6EQMB4LDDH5I4QIHRUPFKBPABI3Y,"25,006 ",,
376,spam_score:,13,GC37TU3JT7TNXAZ3SLJ26XZ2LYMSWECNJXZ4LOG537Z6DG6SDMKL66NT,"22,918 ",,
528,spam_score:,13,GBQ2TEEIGUGEE3NLYCUI6UJ4ROVJEMRFYKTSO6PHVSFQUKSNZAMZM5WK,"18,009 ",,
624,spam_score:,13,GBQEMLBJXFN7GJCUBDH6FCPOLPSNMYJJK3RX2TSYBL3BBWVDFJ7325LN,"15,636 ",,
685,spam_score:,13,GBUMCMIWR5TJV4QZKHI54SSHXH57ISBH7LIQLIN7F2RWEUKDD4GKRP5Y,"14,574 ",,
999,spam_score:,13,GBBF3BGYTQ656NN4AY6MOYJFQHFJSZL3NMUSK4J4FOV4Q5KX2SOT6AIY,"10,232 ",,
1111,spam_score:,13,GBAWFRCSYOFE457Y7FMPG54I464IV3XHCHIAK6QJTHPUKNWLV5EUAXH4,"9,820 ",,
1627,spam_score:,13,GBBD3PG3A2IACGFR4VN2S624EUD7MMK2JX3S4NCKOUCSGXU4XNQ23HCL,"7,053 ",,
2403,spam_score:,13,GDGNU7AI5RIV7XW2PCC5TWHF6ZWUF72TPLGGQCTZYRIEY66DD6SYA4RX,"5,009 ",,
2444,spam_score:,13,GCQNI5SUZ3W3PXOZBQTFL764SVN6A3C6LZKPUM6TT75N3UVGCIB4WSIX,"5,001 ",,
3051,spam_score:,13,GBJODIEXB56WABFAA3KSQWOI2KER6PCPOQITIMETKHQZ2IK45UNLHWHY,"4,017 ",,
3260,spam_score:,13,GCQHECYB5TRU5IZVMBLRBAEOMTUK3QXNE572ZBBPLE77AVG7RERZNHPY,"3,754 ",,
3392,spam_score:,13,GAVFSOZURCQR77EF5YDNELQBAZLVZ7QAFFT6CXK3BCR76RCETOKOYINZ,"3,564 ",,
4115,spam_score:,13,GAYMZYGKD6KQ562SZBUFHKTGMOCDU5P6HUXOZMBTG5QKOOQUT7WWP4EY,"3,001 ",,
5197,spam_score:,13,GAOUG3QAHSLHUTM5ODHBNG5WEBGAW4QCSYZZ6TQV5CAO52ARNJZYPBRS,"2,117 ",,
8497,spam_score:,13,GAEQPEN6C5N4FMW4E6R4237SG3ECHX4JTV5JDNKZYH5UIEZAV5SXF4I6,908 ,,
8872,spam_score:,13,GCCKC77MZAHFMAREUW7I7AO7AFJ4RXY5X64IDAMXUPCP7IDGHQCXEM3F,750 ,,
9422,spam_score:,13,GD2ZZ2RTW5WRJEBZR3JPH2AI5TYFCM5PNHJ2SLJJ7W6KWUA444ZADLYC,553 ,,
10363,spam_score:,13,GCU4YZQSAC6JYZ2KS4Z5KEOF44A7FAIBRKYLCS5JHFY3WWITJPYAFSCY,245 ,,
10880,spam_score:,13,GD5HFUOMK7H3OWNF4YVJCZTENMFQ62J2WPO5XV3Z5XEPG4YIMZHWBDEE,95 ,,
11049,spam_score:,13,GD4CFRCK4IDLKIBM5MAMAHDWOASD2ZDLMBAOHCITX7S73ZWEVIU6AU2R,69 ,,
11596,spam_score:,13,GCZJC4Q4FSEOF3UJDYWYALBRF3C2A75UI7YRP4TNZ4UULSWLZZ7JHRGM,22 ,,
11844,spam_score:,13,GAR3XSFYIP43TOF673RUXLCT2Q4INDOIMIXF5UP5VGZKL3FKDZAYVO3M,12 ,,
12292,spam_score:,13,GBLH73VDRTUT7P6HLUJF627ENAIPKFDCDZXNTHGP2X3JJC4AEMDBJ5IJ,5 ,,
12369,spam_score:,13,GAOJ2VG4UI4536ZEJZW4SE63USOUGICFPIL2Y7K2YXVAH3HXW42Y66FX,4 ,,
13217,spam_score:,13,GBCBFHBQQWBBGGNEQOWIFYU54PKRR2BZXNLANUSBRYZFF2HQG7CZOHMO,2 ,,
13718,spam_score:,13,GAOBIRUFOCQX2RPIM42F77WYWH6PVIBI4RMJ4NNWELWDEIWUYEMCEB5P,2 ,,
13719,spam_score:,13,GDYL63BHJUQ6G5KREIZJGR5VQFJJWXXVPSSUZBEDPR3SHYK7UZ2OGMZA,2 ,,
13902,spam_score:,13,GBCJBKBJDOVV75VX56LWSSEMW6IGJZDNE4IP5RCVHDPGJCQEPSU7KQM7,1 ,,
13981,spam_score:,13,GCZF3TOOCIPZYXQBJ4R3HG6P65KHGPN7TSCME6CVODLXVPGWR7NDF7OD,1 ,,
14168,spam_score:,13,GABHLBTPGKZEAMIL6TB5PVNB3ND5OY4AGVRAUG4U5VXQYCXKRNHASWDV,1 ,,
14198,spam_score:,13,GAVIKHJZFNMIXO22Y37PUKKVMQKEFXFBJ47H5BP7R3X257UCM5VVL525,1 ,,
14286,spam_score:,13,GAI6JSSY2YZFSOVSSD2JFNOUWOW7X5XMZYWGUJKGMCDYHBORV3XF2ZOF,1 ,,
14663,spam_score:,13,GCU6E6ONTRBJIG6S3HW6BLGHMR5BC5SZ6VEONLISDGYCM6YNWN6SQDZ2,1 ,,
14764,spam_score:,13,GDZ6KNUHRKTA6JMKXBRJOYHT3CJBUY6HTRG3FZLJC6OBZYN3SK2ET4SB,1 ,,
14814,spam_score:,13,GAFYWIM244GT76QPL47RKN5QVR76LCL4WVNR5INQNE6RB4OJISWKZMQ3,1 ,,
92,spam_score:,12,GC2FTIFMM2OPHWZX7IVOYWOOHR7ORORM27PTQWL4J64ZO7LX62CUAHND,"56,645 ",,
99,spam_score:,12,GBHZ6K3JOGAMYTPVR5M5Y4MVXLA4IUAF4BE5IWL444236HOBOJFZCZHV,"55,005 ",,
